,ID number,Sales Date,Sellers County of Origin,Sellers State of Origin,Buyers County of Origin,Buyers State of Origin,Slave Name,Sex,Price,lat0,long0,lat1,long1
1140,494,1857-03-20,Jefferson,LA,Ascension,LA,Hersillia,1,450,29.5033,-90.036231,30.202946,-90.910023
1362,4399,1857-04-13,New Orleans,LA,Ascension,LA,Jean Baptiste,0,925,30.068636,-89.939007,30.202946,-90.910023
1610,2405,1857-05-18,New Orleans,LA,Ascension,LA,Charles,0,1250,30.068636,-89.939007,30.202946,-90.910023
1675,2412,1857-05-26,New Orleans,LA,Ascension,LA,Isabel,1,1300,30.068636,-89.939007,30.202946,-90.910023
2202,3751,1857-10-10,New Orleans,LA,Ascension,LA,Monday,0,800,30.068636,-89.939007,30.202946,-90.910023
4511,7007,1859-01-11,New Orleans,LA,Ascension,LA,Solomon Clemens,0,1600,30.068636,-89.939007,30.202946,-90.910023
4512,7008,1859-01-11,New Orleans,LA,Ascension,LA,Granelson Bernard,0,1550,30.068636,-89.939007,30.202946,-90.910023
4513,7009,1859-01-11,New Orleans,LA,Ascension,LA,Reuben Merret,0,1575,30.068636,-89.939007,30.202946,-90.910023
4514,7010,1859-01-11,New Orleans,LA,Ascension,LA,Daniel Haglin,0,1200,30.068636,-89.939007,30.202946,-90.910023
4515,7011,1859-01-11,New Orleans,LA,Ascension,LA,Edward Demim,0,1525,30.068636,-89.939007,30.202946,-90.910023
4516,7012,1859-01-11,New Orleans,LA,Ascension,LA,William Gordon,0,1300,30.068636,-89.939007,30.202946,-90.910023
4517,7013,1859-01-11,New Orleans,LA,Ascension,LA,Isaac Taylor,0,325,30.068636,-89.939007,30.202946,-90.910023
4518,7014,1859-01-11,New Orleans,LA,Ascension,LA,Abraham Davis,0,325,30.068636,-89.939007,30.202946,-90.910023
5668,7652,1859-04-26,New Orleans,LA,Ascension,LA,Ben Tompkins,0,1550,30.068636,-89.939007,30.202946,-90.910023
5669,7653,1859-04-26,New Orleans,LA,Ascension,LA,Thomas Hagen,0,1525,30.068636,-89.939007,30.202946,-90.910023
5737,10787,1859-05-05,New Orleans,LA,Ascension,LA,Johnson,0,300,30.068636,-89.939007,30.202946,-90.910023
5843,9770,1859-05-24,New Orleans,LA,Ascension,LA,John Deems,0,1450,30.068636,-89.939007,30.202946,-90.910023
5847,9776,1859-05-24,New Orleans,LA,Ascension,LA,Mat Shelton,0,1450,30.068636,-89.939007,30.202946,-90.910023
5848,9777,1859-05-24,New Orleans,LA,Ascension,LA,Joseph Banks,0,650,30.068636,-89.939007,30.202946,-90.910023
6965,9300,1859-12-21,New Orleans,LA,Ascension,LA,Jack Martin,0,1750,30.068636,-89.939007,30.202946,-90.910023
6966,9301,1859-12-21,New Orleans,LA,Ascension,LA,Sigh,0,1725,30.068636,-89.939007,30.202946,-90.910023
6967,9302,1859-12-21,New Orleans,LA,Ascension,LA,Nathan,0,1700,30.068636,-89.939007,30.202946,-90.910023
6968,9303,1859-12-21,New Orleans,LA,Ascension,LA,Bob Legon,0,1700,30.068636,-89.939007,30.202946,-90.910023
6969,9304,1859-12-21,New Orleans,LA,Ascension,LA,Henry,0,1650,30.068636,-89.939007,30.202946,-90.910023
6970,9305,1859-12-21,New Orleans,LA,Ascension,LA,Aleck,0,1650,30.068636,-89.939007,30.202946,-90.910023
6971,9306,1859-12-21,New Orleans,LA,Ascension,LA,Frank,0,1700,30.068636,-89.939007,30.202946,-90.910023
6972,9307,1859-12-21,New Orleans,LA,Ascension,LA,John,0,1700,30.068636,-89.939007,30.202946,-90.910023
7045,10395,1859-12-31,New Orleans,LA,Ascension,LA,Martha,1,875,30.068636,-89.939007,30.202946,-90.910023
7101,9413,1860-01-07,New Orleans,LA,Ascension,LA,Anna,1,1105,30.068636,-89.939007,30.202946,-90.910023
7715,10722,1860-03-06,New Orleans,LA,Ascension,LA,Ursule,1,2300,30.068636,-89.939007,30.202946,-90.910023
8384,13862,1860-06-11,New Orleans,LA,Ascension,LA,Jane Spain,1,1300,30.068636,-89.939007,30.202946,-90.910023
8534,13956,1860-07-10,New Orleans,LA,Ascension,LA,Lila,1,2500,30.068636,-89.939007,30.202946,-90.910023
9364,14417,1861-04-16,St. Helena,LA,Ascension,LA,Tibby Ann Miles,1,1125,30.821423,-90.70935,30.202946,-90.910023
